X,Y,Z,I,J,K
-5999.6461,-315.1932,-1695.4927,0.0235902,-0.1893804,-0.9816204
-6000.0,-193.0228,-1700.282,0.0239939,-0.1253952,-0.9918167
-6000.0,-87.5119,-1710.1437,0.0243487,-0.06274,-0.9977328
-6000.0,18.3932,-1713.898,0.0248767,-0.007287,-0.999664
-6000.0,124.3216,-1711.1764,0.0254597,0.0616839,-0.997771
-6000.0,229.7505,-1700.5324,0.0255663,0.1355191,-0.9904448
-6000.0,334.2123,-1682.7292,0.0253461,0.2001675,-0.9794338
-6000.0,437.282,-1658.1273,0.0250622,0.2637342,-0.9642698
-6000.0,538.5316,-1626.8586,0.024723,0.3258704,-0.9450911
-6000.0,637.5405,-1589.0909,0.0243393,0.3862963,-0.9220536
-6000.0,733.9094,-1545.0191,0.0239229,0.4447721,-0.8953242
-6000.0,827.254,-1494.8587,0.0234851,0.5011317,-0.8650523
-6000.0,917.2079,-1438.8437,0.0230366,0.5552318,-0.8313766
-6000.0,1003.4171,-1377.2212,0.0225846,0.6068618,-0.7944864
-6000.0,1085.5384,-1310.2488,0.0221377,0.6562079,-0.7542554
-6000.0,1163.2714,-1238.2268,0.0216961,0.7020695,-0.7117779
-6000.0,1236.2747,-1161.4185,0.0212846,0.7465778,-0.6649576
-6000.0,1304.2456,-1080.1205,0.0208506,0.786505,-0.6172318
-6000.0,1366.9876,-994.7289,0.020477,0.8244758,-0.5655266
-6000.0,1423.9984,-905.4134,0.0200822,0.8598705,-0.5101171
-6000.0,1475.2155,-812.6175,0.0196289,0.8895861,-0.4563455
-6000.0,1520.7426,-716.9209,0.0192668,0.915565,-0.4017082
-6000.0,1560.1634,-618.5771,0.0190018,0.9393731,-0.3423698
-6000.0,1593.5249,-517.9894,0.0187205,0.9577954,-0.2868404
-6000.0,1620.7538,-415.5775,0.0186309,0.9738793,-0.2263008
-6000.0,1641.538,-311.6666,0.0185595,0.9859124,-0.1662296
-6000.0,1655.9457,-206.6809,0.0185806,0.9942559,-0.1054038
-6000.0,1664.1757,-101.0269,0.0185782,0.9985161,-0.0511895
-6000.0,1666.547,4.9161,0.0189601,0.9997848,0.0084209
-6000.0,1662.3227,110.8017,0.0194538,0.9973405,0.0702389
-6000.0,1651.9043,216.2608,0.0199231,0.9918569,0.1257893
-6000.0,1635.6499,320.9791,0.0206258,0.9832763,0.1809483
-6000.0,1613.5391,424.6201,0.0215578,0.9714957,0.2360751
